Actual License Plate,Predicted License Plate,Accuracy
9B52145,QB52145,86%
6B94558,6B94558,100 %
8B90164,8B9015L,71%
5B11181,4AQ,0
8B79697,8BQ6Q,0
8B90164,8B90164,100 %
5B11181,44,0
5Z40181,5ZL0484,57%
2B20174,2B201L,0
1B76462,4Q74S2,0
BVJ6411,BVJ6444,71%
8B79697,,0
BVJ6411,BVJ6411,100 %
1B94686,4B9L66,0
4B83940,4B83940,100 %
4B83940,4B83940,100 %
4B27433,4B27L33,86%
5B29737,5B2G37,0
8B88391,8B88391,100 %
5B28893,ARR,0
5C48306,5CL8306,86%
3B38140,3B381L0,86%
4B10036,O,0
1BD0673,,0
4B50811,LB50811,86%
6B51255,6B54255,86%
4B02466,,0
5C65578,,0
BZD1223,,0
ZNE2393,,0
8B02173,48RB02173,0
7B10307,,0
9B60464,,0
7B91102,7QG,0
1AT5828,,0
7B14349,7B4343,0
4M98681,L4Q581,0
2B17515,2RB545,0
BZH8389,,0
9B38368,QR,0
8B71401,8B7440Q4,0
4B20737,LB2Q737,71%
3B04082,3B04082,100 %
1J24813,JZZ513,0
1BC4146,1BC16,0
5B77655,5R9,0
6B67495,K47,0
BZP2087,BZP2087,100 %
5C93988,,0
2B65055,JE,0
3AI0851,,0
2SE8601,,0
7B11859,,0
3AI0851,,0
8B23170,,0
9B84391,9BQ484,0
2B13579,2R13A9,0
5B08436,AB84,0
4AF9553,LQ4,0
2B52739,BA3,0
7B00844,7B00844,100 %
6B68384,,0
7B15714,7845744,57%
7B29430,7R29L3,0
7B61623,B61623,0
2B89928,,0
6B67033,674,0
9B84759,,0
1BB8851,1BB8851,100 %
6B50430,6B50430,100 %
6B00320,6B0032,0
4B45969,LRA6,0
7B58307,,0
BZC4939,BZCL3Q,0
1BB6338,1BB6338,100 %
1BA0888,1BA3SKB,43%
9B49365,Q8LQ365,43%
6B26050,6R550,0
8B64702,8B5L02,0
3Z63187,376387,0
4AZ3802,4AZ3802,100 %
7B57267,7B5267,0
2Z52689,25268,0
6B88304,65RB30L,43%
4E02304,LEF0230L,0
7B40988,,0
7B94261,7RQL261,57%
5B11149,5B1414Q,71%
2B74289,2B28Q,0
9B64064,9B6406L,86%
1B85815,1B85815,100 %
7B98453,B8LA3,0
9B59729,9B59729,100 %
5B11149,,0
5B11300,5B13,0
1BA3428,1B3428,0
1BD0679,1BD0679,100 %
5B82908,,0
4E02304,LFI3L,0
9B43104,9BL310A,71%
BZL4085,BZL408A,86%
7B14095,7B14095,100 %
1BA2905,1BA290PA,0
6C71390,5C713Q0,71%
8B46851,8BL68A1,71%
6B45495,6BLHLQH,29%
4B82840,LB82L,0
4M34462,M3LL62,0
6M04291,6,0
5B05531,5B0531,0
5Z15057,HZA0A,0
4Z42407,LZPR2L0,14%
3S86899,,0
9B33297,3R43297,57%
7B66657,B6655,0
7B27254,5Z25,0
4AX9660,4AX9660,100 %
3B60372,3B60372,100 %
1B61178,4B61178,86%
9B88363,QRR8264,29%
7B12151,,0
7B12151,7,0
9B30130,,0
9B30130,Q,0
1BA1114,4RA444L,14%
9B88363,,0
5B06256,HB62A6,0
1BA1114,4A441,0
9B30034,QB33L,0
5B20773,5B20773,100 %
8B26229,QRQ,0
1B37208,R3I,0
2Z52689,2268Q,0
2B46175,2B617,0
7B63766,6366,0
B0L3403,,0
2B57127,L,0
1BC6703,1BC5703,86%
7B11607,1R44007,29%
4B07003,44B07003,0
8B53308,8BF3308,86%
9B13973,B43Q3,0
5B57928,ABAQ,0
5B99527,ABA2,0
9B83305,,0
3SA6413,3SA6L3,0
4AF9553,,0
1Z35206,13AI,0
8B41958,8B41958,100 %
3Z63187,3Z63187,100 %
2SZ4642,2SL6L,0
6B89358,6B8Q358,86%
2B38280,F2QR,0
6B34859,6B3L8AQ,57%
4B76148,LR648,0
8B81013,8B83,0
7B88517,B88A,0
1B27247,RIL,0
BZP6480,BZP6L80,86%
1BA8370,1BA847,0
BZP6480,BZP6L80,86%
5J04027,J002,0
7B65585,7B65585,100 %
9B91420,9B91420,100 %
8B60552,7,0
5B38434,B38L3L,0
7B44167,,0
3B41980,,0
8B69588,8B6G588,86%
2AX4938,24X4938,86%
7B30135,B3013,0
2AX4938,2AXQ38,0
5B77379,5B7379,0
7B73485,7B73L8,0
BZL3400,B730,0
4B60620,4B60620,100 %
3B09932,3B0Q932,86%
8T77462,TJ,0
9T19202,LT1,0
9B45193,9B45193,100 %
1B70230,44A,0
8B47318,8B438,0
1BI2138,1B243,0
7B46204,B4620P4,14%
5B23615,AB23615,86%
2B76686,2B6686,0
8B03653,8B3653,0
1E59706,1F5906,0
1BB9110,1RBQ110,71%
5B24546,5B2L5L5,57%
9B29274,QB22L,0
9B13772,QR2,0
8B77932,,0
2B97325,2R0325,0
7B76600,,0
9B98777,9B98777,100 %
2B75836,,0
8B22920,8B22920,100 %
1B05002,1B65002,86%
7B31947,,0
9B14015,9BA015,0
BZL5685,BZL685,0
2E67175,2,0
7B35438,7B35438,100 %
3K29729,3K29729,100 %
4B96914,RQ5G1,0
8B86266,B6A,0
6B03119,6B311Q,0
8B86266,,0
7B34216,B3L246,0
8T84065,RTR06,0
4AC5710,FAA,0
1BC1046,R16,0
8B62184,R68,0
3B60854,4B68AL,0
4B64261,B,0
4B86157,R5,0
4B82295,BII9,0
4B22781,LB2281,0
7B72729,B22Q,0
BMZ3933,BM4Z3933,0
BZB1922,BZB7922,86%
2M25948,2M2A948,86%
7B30788,7B30788,100 %
7B90990,7RB90990,0
6B70990,B704QQ,0
7B75285,7B728A,0
3B25229,3B222G,0
7B59066,B59066,0
7B14095,R19A,0
7B89545,7R8QL,0
8B66512,8B656A12,0
1BB7325,1BB732A,86%
2B73768,2RB3758,57%
6B24616,6B2616,0
5B26675,5B2667A,86%
7B78280,B280,0
5H68504,H68504,0
9B86906,QB86Q06,71%
4M26776,LM6776,0
1B49951,ALQQ,0
8B91698,8B91598,86%
1BC5138,BC13Z,0
8T43418,Q7L318,0
LL435JG,L435J5,0
8T32290,8T322Q0,86%
6B48927,6BL82,0
B13AEB,B3AFB,0
9B65431,4BA34,0
FMR4437,FMPRLL37,0
3M46918,3ML5Q18,57%
8B70688,8B70688,100 %
1BC5191,BC51Q4,0
1BC0525,1BC0525,100 %
3B37902,3B32,0
3B88729,Q,0
1BB8887,1BB8887,100 %
5B97425,5B97425,100 %
4B42029,LB9,0
1B87819,1B87819,100 %
5B97425,ARQL25,0
5B29670,4B2960,0
7B27150,B21A0,0
4AT7962,4T62,0
7B08199,7B081G9,86%
7B14156,7B14156,100 %
5M56740,,0
5M56740,ML,0
7B14156,7B14156,100 %
9T33663,9T33663,100 %
B8547,RRA,0
7B31505,B31505,0
DT612BC,DDT612BC,0
7B32443,7B32443,100 %
7B30332,B333,0
1BD4657,1BDL65,0
6B28800,6B28800,100 %
3T16754,3T1575L,71%
BMZ0815,B4L815,0
3B95265,3R45,0
6B23451,6B23LA1,71%
9B54817,,0
8B10162,8B462,0
3B48296,3BLQ,0
2Z96418,26L,0
2E73609,IF3F0,0
8B10732,QRRB042,14%
BZE7277,R,0
9B43101,9B43101,100 %
4B01832,,0
1B07846,,0
4B56396,BA36,0
9B78701,QB81,0
BZJ2909,R12QQ,0
9B46988,RLQ,0
5H85564,HY8564,0
3AJ8930,3AQ3,0
BZ04966,B4704Q66,0
B8121,B8121,100 %
4B83172,BR342,0
1BI1710,1B4,0
3B60832,9B632,0
2B45270,2BL52,0
6B84949,684Q,0
6B84949,,0
3B75763,3B75753,86%
8T52099,8T5209Q,86%
2AB5896,2ABAQ6,0
4B46694,BL55Q,0
4B84489,LB8LL8Q,43%
BZN1065,BNFA,0
2AN1991,2AN91,0
SI625BC,S625BC,0
9B36205,QB3620A,71%
9B13198,QB43Q8,0
8B68508,RER508,0
8B68508,RR62HR,0
9B14541,QB4RAL4,14%
BZ05042,B751P2,0
BZI0346,BR13G6,0
3B30411,3B30L11,86%
6B48288,6B8288,0
9B85289,QB8289,0
2B90178,LRQ018,0
7B59839,7BS9R3Q,57%
7B11123,B1123,0
9B52145,9B5215,0
6B94558,6B9L58,0
8B90164,8BG016L,71%
5B11181,HR48,0
8B79697,8BQ5Q,0
8B90164,8B90164,100 %
5B11181,5B444Q4,29%
5Z40181,5ZL084,0
2B20174,2B20174,100 %
1B76462,4876462,71%
BVJ6411,BVJ6L11,86%
8B79697,8B7Q,0
BVJ6411,BVJ6411,100 %
1B94686,1BQ4686,86%
4B83940,4B83940P,0
4B83940,4B83940,100 %
4B27433,4B27L33,86%
5B29737,SB2G3,0
8B88391,8B88391,100 %
5B28893,AB,0
5C48306,5C68306,86%
3B38140,3B38140,100 %
4B10036,4B006,0
1BD0673,1800673,71%
4B50811,,0
6B51255,,0
4B02466,,0
5C65578,L6,0
BZD1223,,0
ZNE2393,,0
8B02173,8R02173,86%
7B10307,,0
9B60464,,0
7B91102,B94Z,0
1AT5828,44,0
7B14349,7B44349,86%
4M98681,486,0
2B17515,2B4545,0
BZH8389,,0
9B38368,QR1,0
8B71401,7404,0
4B20737,4B29737,86%
3B04082,3B04082,100 %
1J24813,1J24813,100 %
1BC4146,1BC16,0
5B77655,5B7765A,86%
6B67495,6B67495,100 %
BZP2087,BZP2087,100 %
5C93988,5C9398,0
2B65055,2B6A055,86%
3AI0851,AA08A4,0
2SE8601,2SE8604,86%
7B11859,7B44859,71%
3AI0851,1,0
8B23170,8823470,71%
9B84391,B8L3,0
2B13579,2B13H9,0
5B08436,AB084,0
4AF9553,4AF9553,100 %
2B52739,2RA3,0
7B00844,7B00844,100 %
6B68384,,0
7B15714,4,0
7B29430,7B29L3,0
7B61623,7B5623,0
2B89928,7R8Y4YQR,0
6B67033,034,0
9B84759,,0
1BB8851,1BB8851,100 %
6B50430,,0
6B00320,6B00320,100 %
4B45969,LRA96Q,0
7B58307,7B58307,100 %
BZC4939,BZC439,0
1BB6338,1BB6338,100 %
1BA0888,1BA0888,100 %
9B49365,9B9365,0
6B26050,6B26050,100 %
8B64702,8B6L02,0
3Z63187,3Z63187,100 %
4AZ3802,4AZ3802,100 %
7B57267,7B57267,100 %
2Z52689,25268Q,0
6B88304,6B8830L,86%
4E02304,LE0230L,71%
7B40988,0,0
7B94261,7BQL261,71%
5B11149,5B11149,100 %
2B74289,2B4289,0
9B64064,9B64064,100 %
1B85815,1B85815,100 %
7B98453,7RG8LA3,43%
9B59729,9B9729,0
5B11149,RQ,0
5B11300,5B4400,0
1BA3428,1BA3428,100 %
1BD0679,1BD0679,100 %
5B82908,58890,0
4E02304,LF023L,0
9B43104,,0
BZL4085,BZL408A,86%
7B14095,7B14095,100 %
1BA2905,1BA290A,86%
6C71390,6C71390,100 %
8B46851,8BL68A1,71%
6B45495,6BL5LQH,43%
4B82840,LB828L,0
4M34462,AM3L62,0
6M04291,MQ,0
5B05531,5B03,0
5Z15057,H14A0,0
4Z42407,LZL2L0,0
3S86899,3S868QQ,71%
9B33297,9B33297,100 %
7B66657,AB65657,71%
7B27254,5Z25L,0
4AX9660,4AX9660,100 %
3B60372,3B60372,100 %
1B61178,4B61178,86%
9B88363,GB88363,86%
7B12151,,0
7B12151,B1,0
9B30130,QB30430,71%
9B30130,QB3030,0
1BA1114,1BA111L,86%
9B88363,9B88363,100 %
5B06256,B062H6,0
1BA1114,1BA1114,100 %
9B30034,QB33L,0
5B20773,2773,0
8B26229,8R6,0
1B37208,R3I28,0
2Z52689,21268Q,0
2B46175,2B4675,0
7B63766,R63J6,0
B0L3403,B3L3,0
2B57127,2BA1,0
1BC6703,1C5703,0
7B11607,44Q7,0
4B07003,4B07003,100 %
8B53308,8BF3308,86%
9B13973,QB4373,0
5B57928,ABA9,0
5B99527,ABA2,0
9B83305,,0
3SA6413,3SA63,0
4AF9553,4AF9553,100 %
1Z35206,3A25,0
8B41958,8BA1958,86%
3Z63187,3163187,86%
2SZ4642,2SZ6L2,0
6B89358,6B89358,100 %
2B38280,R3,0
6B34859,6B38AQ,0
4B76148,FB761R,0
8B81013,8B83,0
7B88517,B881,0
1B27247,BIL,0
BZP6480,BZPL0H,0
1BA8370,1BA8470,86%
BZP6480,BZP480,0
5J04027,AJ0L027,71%
7B65585,7B65585,100 %
9B91420,9B91420,100 %
8B60552,8B6552,0
5B38434,5B38L3L,71%
7B44167,7RLL16,0
3B41980,3B44Q80,71%
8B69588,8B69588,100 %
2AX4938,2AX4938,100 %
7B30135,B3013,0
2AX4938,2AXQ38,0
5B77379,5B77379,100 %
7B73485,7B73L8,0
BZL3400,B7L300,0
4B60620,4B60620,100 %
3B09932,3B09932,100 %
8T77462,8T77,0
9T19202,T1G,0
9B45193,9B45193,100 %
1B70230,18724,0
8B47318,8B438,0
1BI2138,1B2438,0
7B46204,B4620L,0
5B23615,AB2361,0
2B76686,2B76686,100 %
8B03653,8B0363,0
1E59706,1F5906,0
1BB9110,1BBQ110,86%
5B24546,5B2L5L5,57%
9B29274,B22L,0
9B13772,GB32,0
8B77932,,0
2B97325,2B32,0
7B76600,,0
9B98777,9B98777,100 %
2B75836,7,0
8B22920,8B22920,100 %
1B05002,1B0P002,86%
7B31947,,0
9B14015,9B4015,0
BZL5685,BZL568,0
2E67175,,0
7B35438,7B35438,100 %
3K29729,,0
4B96914,RQ591,0
8B86266,BAF,0
6B03119,5B0311Q,71%
8B86266,A8,0
7B34216,B3L246,0
8T84065,8T06A,0
4AC5710,AA,0
1BC1046,BC6,0
8B62184,R618,0
3B60854,B618A,0
4B64261,B,0
4B86157,RAA5,0
4B82295,BIIGA,0
4B22781,LB2281,0
7B72729,B22Q,0
BMZ3933,B473933,71%
BZB1922,BZB1922,100 %
2M25948,2M2A948,86%
7B30788,7B30788,100 %
7B90990,7B90990,100 %
6B70990,B709O,0
7B75285,7B7528,0
3B25229,3B222G,0
7B59066,7B59066,100 %
7B14095,R095,0
7B89545,7RB8Q5L,14%
8B66512,8B66A2,0
1BB7325,1BB7325,100 %
2B73768,2BR3758,71%
6B24616,6B2616,0
5B26675,5B2667,0
7B78280,B8280,0
5H68504,H680,0
9B86906,QB86Q06,71%
4M26776,LM257765,0
1B49951,RLQQ,0
8B91698,8B91598,86%
1BC5138,BC13,0
8T43418,L8TL318,29%
LL435JG,435J65,0
8T32290,8T32290,100 %
6B48927,L8G27,0
B13AEB,B3AFB,0
9B65431,B6531,0
FMR4437,FMRLL37,71%
3M46918,3ML5918,71%
8B70688,8B70688,100 %
1BC5191,1BC9,0
1BC0525,1BC0525,100 %
3B37902,3B37G02,86%
3B88729,3B88729,100 %
1BB8887,1BB8887,100 %
5B97425,5B97425,100 %
4B42029,4B4229,0
1B87819,1B87819,100 %
5B97425,5BQ7L25,71%
5B29670,B2960,0
7B27150,B21A0,0
4AT7962,4AT962,0
7B08199,7B08199,100 %
7B14156,7B14156,100 %
5M56740,UVV4,0
5M56740,MA6L,0
7B14156,7B14156,100 %
9T33663,9T33663,100 %
B8547,R8AL,0
7B31505,7B31505,100 %
DT612BC,DT912BC,86%
7B32443,7B3263,0
7B30332,333,0
1BD4657,1BD465,0
6B28800,6B28800,100 %
3T16754,3T1575L,71%
BMZ0815,B4L0815,71%
3B95265,3RQ526A,57%
6B23451,6B23LA1,71%
9B54817,,0
8B10162,8B42,0
3B48296,3BLQ,0
2Z96418,2LQ,0
2E73609,IFJ360Q,43%
8B10732,8RB4042,29%
BZE7277,R1111,0
9B43101,4404,0
4B01832,,0
1B07846,,0
4B56396,BA5396,0
9B78701,QB7801,0
BZJ2909,RLJ2QQ,0
9B46988,QRL6,0
5H85564,H85564,0
3AJ8930,3AJ830,0
BZ04966,BZ0L966,86%
B8121,B812,0
4B83172,LR832,0
1BI1710,1B,0
3B60832,9B6832,0
2B45270,2B42,0
6B84949,,0
6B84949,6B8LL,0
3B75763,3B75763,100 %
8T52099,8T5209Q1,0
2AB5896,2ABA8Q6,71%
4B46694,LR55Q,0
4B84489,LB8LL89,57%
BZN1065,BZNF4,0
2AN1991,2ANG,0
SI625BC,SG625BC,86%
9B36205,QB362,0
9B13198,QB4348,0
8B68508,8B68508,100 %
8B68508,8BR6QHQ,29%
9B14541,9B1LR4,0
BZ05042,RBV00P2,29%
BZI0346,BR13L6,0
3B30411,3B30L71,71%
6B48288,8288,0
9B85289,9B8A28G,71%
2B90178,BQ8,0
7B59839,B5983Q,0
7B11123,1B11123,86%
